Area,date, pm25, pm10, o3, no2, so2, co, psi
Central,2024/2/1, 46, 25, 10,, 2, 5,
Central,2024/2/2, 48, 29, 10,, 2, 5,
Central,2024/2/3, 46,,,,,,
Central,2024/1/1, 35, 16, 8,, 1, 3,
Central,2024/1/2, 25, 18, 9,, 1, 2,
Central,2024/1/3, 37, 16, 8,, 4, 4,
Central,2024/1/4, 26, 13, 12,, 3, 3,
Central,2024/1/5, 26, 21, 16,, 3, 5,
Central,2024/1/6, 31, 17, 8,, 3, 5,
Central,2024/1/7, 24, 14, 14,, 3, 6,
Central,2024/1/8, 34, 17, 12,, 3, 5,
Central,2024/1/9, 26, 14, 9,, 2, 4,
Central,2024/1/10, 25, 21, 9,, 2, 7,
Central,2024/1/11, 46, 25, 37,, 2, 7,
Central,2024/1/12, 24, 21, 12,, 2, 8,
Central,2024/1/13, 50, 36, 13,, 2, 7,
Central,2024/1/14, 46, 29, 11,, 2, 6,
Central,2024/1/15, 34, 23, 8,, 1, 3,
Central,2024/1/16, 33, 21, 10,, 2, 3,
Central,2024/1/17, 37, 25, 8,, 3, 3,
Central,2024/1/18, 42, 37, 7,, 1, 4,
Central,2024/1/19, 45, 26, 3,, 1, 4,
Central,2024/1/20, 39, 19, 27,, 1, 4,
Central,2024/1/21, 41, 21, 26,, 1, 4,
Central,2024/1/22, 41, 23, 15,, 1, 4,
Central,2024/1/23, 33, 24, 10,, 1, 5,
Central,2024/1/24, 46, 22, 7,, 1, 4,
Central,2024/1/25, 39, 27, 15,, 1, 5,
Central,2024/1/26, 48, 31, 18,, 1,,
Central,2024/1/27, 48, 33, 18,, 1,,
Central,2024/1/28, 46, 36, 17,, 2,,
Central,2024/1/29, 58, 39, 14,, 2, 5,
Central,2024/1/30, 55, 36, 12,, 2, 4,
Central,2024/1/31, 49, 29, 12,,, 5,
Central,2023/10/1, 100, 45, 27,, 2, 4,
Central,2023/10/2, 79, 43, 21,, 2, 4,
Central,2023/10/3, 64, 41, 29,, 2, 6,
Central,2023/10/4, 88, 50, 29,, 2, 4,
Central,2023/10/5, 77, 49, 30,, 2, 4,
Central,2023/10/6, 98, 67, 32,, 2, 7,
Central,2023/10/7, 157, 64, 26,, 2, 5,
Central,2023/10/8, 91, 50, 32,, 1, 6,
Central,2023/10/9, 91, 55, 22,, 1, 7,
Central,2023/10/10, 112, 58, 25,, 2, 7,
Central,2023/10/11, 109, 52, 19,, 1, 7,
Central,2023/10/12, 81, 41, 26,, 2, 6,
Central,2023/10/13, 73, 48, 27,, 2, 5,
Central,2023/10/14, 83, 47, 30,, 2, 6,
Central,2023/10/15, 92, 51, 28,, 2, 6,
Central,2023/10/16, 81, 47, 23,, 2, 4,
Central,2023/10/17, 73, 42, 15,, 2, 5,
Central,2023/10/18, 71, 41, 24,, 2, 7,
Central,2023/10/19, 67, 38, 16,, 1, 5,
Central,2023/10/20, 65, 35, 13,, 1, 6,
Central,2023/10/21, 61, 38, 18,, 1, 6,
Central,2023/10/22, 64, 38, 21,, 2, 6,
Central,2023/10/23, 61, 30, 28,, 2, 4,
Central,2023/10/24, 52, 28, 13,, 2, 5,
Central,2023/10/25, 52, 37, 21,, 2, 7,
Central,2023/10/26, 68, 39, 23,, 2, 4,
Central,2023/10/27, 66, 33, 7,, 2, 4,
Central,2023/10/28, 55, 33, 29,, 2, 5,
Central,2023/10/29, 62, 31, 31,, 2, 5,
Central,2023/10/30, 67, 47, 29,, 2, 7,
Central,2023/10/31, 80, 42, 20,, 1, 7,
Central,2023/11/1, 70, 37, 32,, 1, 7,
Central,2023/11/2, 66, 51, 41,, 2, 6,
Central,2023/11/3, 93, 52, 22,, 2, 5,
Central,2023/11/4, 78, 42, 31,, 2, 4,
Central,2023/11/5, 65, 36, 27,, 2, 4,
Central,2023/11/6, 59, 33, 21,, 2, 5,
Central,2023/11/7, 53, 29, 14,, 2, 4,
Central,2023/11/8, 57, 33, 23,, 5, 4,
Central,2023/11/9, 64, 26, 18,, 3, 5,
Central,2023/11/10, 45, 34, 33,, 2, 6,
Central,2023/11/11, 62, 43, 33,, 4, 5,
Central,2023/11/12, 88, 41, 29,, 1, 6,
Central,2023/11/13, 66, 37, 19,, 1, 6,
Central,2023/11/14, 61, 31, 28,, 3, 6,
Central,2023/11/15, 50, 23, 25,, 3, 6,
Central,2023/11/16, 43, 24, 26,, 2, 7,
Central,2023/11/17, 41, 23, 23,, 1, 8,
Central,2023/11/18, 37, 15, 26,, 1, 7,
Central,2023/11/19, 22, 16, 35,, 5, 8,
Central,2023/11/20, 35, 22, 20,, 4, 6,
Central,2023/11/21, 34, 23, 24,, 1, 3,
Central,2023/11/22, 41, 25, 33,, 1, 2,
Central,2023/11/23, 40, 18, 28,, 1, 2,
Central,2023/11/24, 26, 19, 20,, 1, 2,
Central,2023/11/25, 37, 28, 35,, 2, 3,
Central,2023/11/26, 53, 25, 23,, 1, 3,
Central,2023/11/27, 53, 32, 21,, 2, 3,
Central,2023/11/28, 45, 22, 25,, 2, 2,
Central,2023/11/29, 34, 23, 15,, 2, 2,
Central,2023/11/30, 36, 15, 13,, 2, 2,
Central,2023/12/1, 29, 22, 17,, 2, 3,
Central,2023/12/2, 40, 20, 8,, 2, 2,
Central,2023/12/3, 36, 21, 11,, 2, 2,
Central,2023/12/4, 41, 26, 35,, 2, 3,
Central,2023/12/5, 47, 26, 12,, 2, 2,
Central,2023/12/6, 30, 24, 13,, 2, 3,
Central,2023/12/7, 43, 21, 17,, 2, 2,
Central,2023/12/8, 28, 15, 15,, 2, 1,
Central,2023/12/9, 24, 19, 17,, 2, 2,
Central,2023/12/10, 36, 20, 13,, 2, 2,
Central,2023/12/11, 36, 19, 6,, 2, 2,
Central,2023/12/12, 29, 17, 20,, 2, 3,
Central,2023/12/13, 31, 24, 13,, 2, 2,
Central,2023/12/14, 44, 25, 24,, 2, 3,
Central,2023/12/15, 42, 23, 17,, 2, 2,
Central,2023/12/16, 35, 22, 16,, 2, 3,
Central,2023/12/17, 39, 21, 13,, 2, 2,
Central,2023/12/18, 39, 21, 11,, 2, 2,
Central,2023/12/19, 35, 23, 14,, 2, 2,
Central,2023/12/20, 38, 20, 14,, 2, 2,
Central,2023/12/21, 28, 16, 24,, 2, 2,
Central,2023/12/22, 29, 19, 22,, 2, 3,
Central,2023/12/23, 33, 23, 42,, 2, 2,
Central,2023/12/24, 46, 23, 20,, 2, 1,
Central,2023/12/25, 30, 17, 14,, 2, 1,
Central,2023/12/26, 31, 17, 14,, 2, 2,
Central,2023/12/27, 29, 23, 10,, 2, 2,
Central,2023/12/28, 33, 23, 10,, 2, 2,
Central,2023/12/29, 38, 23, 9,, 2, 2,
Central,2023/12/30, 47, 30, 9,, 2, 2,
Central,2023/12/31, 40, 19, 8,, 2, 2,
Central,2023/7/1, 27, 13, 15,, 1, 3,
Central,2023/7/2, 29, 16, 13,, 1, 3,
Central,2023/7/3, 39, 20, 14,, 1, 4,
Central,2023/7/4, 33, 16, 18,, 1, 4,
Central,2023/7/5, 27, 20, 16,, 1, 5,
Central,2023/7/6, 43, 24, 15,, 1, 5,
Central,2023/7/7, 38, 20, 15,, 4, 5,
Central,2023/7/8, 38, 17, 12,, 1, 5,
Central,2023/7/9, 31, 21, 7,, 1, 6,
Central,2023/7/10, 44, 18, 5,, 1, 4,
Central,2023/7/11, 31, 18, 10,, 1, 5,
Central,2023/7/12, 32, 19, 14,, 1, 5,
Central,2023/7/13, 44, 24, 5,, 1, 5,
Central,2023/7/14, 54, 25, 17,, 5, 5,
Central,2023/7/15, 47, 29, 19,, 1, 4,
Central,2023/7/16, 47, 31, 12,, 1, 5,
Central,2023/7/17, 60, 34, 7,, 1, 5,
Central,2023/7/18, 54, 27, 10,, 1, 4,
Central,2023/7/19, 35, 31, 7,, 1, 4,
Central,2023/7/20, 51, 37, 16,, 1, 4,
Central,2023/7/21, 68, 33, 16,, 3, 4,
Central,2023/7/22, 48, 35, 16,, 1, 4,
Central,2023/7/23, 56, 28, 14,, 1, 4,
Central,2023/7/24, 46, 23, 14,, 2, 3,
Central,2023/7/25, 38, 30, 13,, 2, 4,
Central,2023/7/26, 54, 39, 16,, 2, 4,
Central,2023/7/27, 77, 45, 18,, 2, 4,
Central,2023/7/28, 79, 50, 21,, 4, 3,
Central,2023/7/29, 75, 42, 19,, 2, 3,
Central,2023/7/30, 45, 33, 15,, 2, 3,
Central,2023/7/31, 44, 38, 17,, 1, 4,
Central,2023/8/1, 49, 40, 20,, 2, 4,
Central,2023/8/2, 68, 39, 12,, 2, 4,
Central,2023/8/3, 52, 29, 14,, 3, 5,
Central,2023/8/4, 45, 31, 17,, 3, 4,
Central,2023/8/5, 56, 35, 19,, 2, 4,
Central,2023/8/6, 59, 30, 16,, 2, 4,
Central,2023/8/7, 52, 27, 9,, 2, 4,
Central,2023/8/8, 38, 24, 18,, 3, 3,
Central,2023/8/9, 41, 33, 21,, 3, 4,
Central,2023/8/10, 55, 37, 18,, 3, 4,
Central,2023/8/11, 59, 39, 26,, 3, 4,
Central,2023/8/12, 68, 49, 27,, 2, 5,
Central,2023/8/13, 74, 39, 21,, 2, 4,
Central,2023/8/14, 60, 31, 15,, 2, 4,
Central,2023/8/15, 62, 36, 12,, 2, 5,
Central,2023/8/16, 67, 40, 14,, 6, 5,
Central,2023/8/17, 72, 47, 4,, 14, 6,
Central,2023/8/18, 72, 36, 7,, 7, 5,
Central,2023/8/19, 64, 29, 20,, 3, 4,
Central,2023/8/20, 57, 29, 14,, 1, 4,
Central,2023/8/21, 51, 35, 15,, 4, 6,
Central,2023/8/22, 64, 41, 16,, 2, 4,
Central,2023/8/23, 57, 40, 15,, 1, 4,
Central,2023/8/24, 55, 30, 12,, 2, 5,
Central,2023/8/25, 44, 29, 10,, 2, 5,
Central,2023/8/26, 57, 49, 16,, 2, 7,
Central,2023/8/27, 61, 31, 14,, 2, 4,
Central,2023/8/28, 59, 38, 12,, 1, 6,
Central,2023/8/29, 62, 40, 15,, 1, 6,
Central,2023/8/30, 65, 42, 16,, 2, 5,
Central,2023/8/31, 63, 46, 24,, 2, 5,
Central,2023/9/1, 71, 44, 27,, 1, 5,
Central,2023/9/2, 86, 50, 28,, 2, 4,
Central,2023/9/3, 78, 49, 29,, 2, 3,
Central,2023/9/4, 78, 52, 28,, 1, 2,
Central,2023/9/5, 80, 51, 18,, 1, 3,
Central,2023/9/6, 74, 27, 29,, 2, 3,
Central,2023/9/7, 45, 28, 18,, 2, 3,
Central,2023/9/8, 58, 34, 15,, 1, 3,
Central,2023/9/9, 60, 32, 14,, 1, 4,
Central,2023/9/10, 55, 35, 27,, 1, 5,
Central,2023/9/11, 79, 48, 18,, 1, 3,
Central,2023/9/12, 77, 36, 16,, 1, 2,
Central,2023/9/13, 56, 36, 21,, 1, 2,
Central,2023/9/14, 63, 40, 22,, 2, 2,
Central,2023/9/15, 65, 45, 20,, 2,,
Central,2023/9/16, 66, 42, 19,, 2, 3,
Central,2023/9/17, 62, 29, 14,, 2, 3,
Central,2023/9/18, 53, 28, 14,, 9, 3,
Central,2023/9/19, 42, 25, 8,, 8, 4,
Central,2023/9/20, 45, 29, 17,, 3, 5,
Central,2023/9/21, 47, 20, 12,, 2, 3,
Central,2023/9/22, 38, 33, 19,, 2, 4,
Central,2023/9/23, 74, 43, 11,, 1, 3,
Central,2023/9/24, 58, 29, 23,, 1, 3,
Central,2023/9/25, 70, 46, 18,, 1, 3,
Central,2023/9/26, 84, 47, 28,, 1, 3,
Central,2023/9/27, 72, 48, 27,, 2, 3,
Central,2023/9/28, 75, 55, 23,, 2, 4,
Central,2023/9/29, 103, 54, 13,, 2, 4,
Central,2023/9/30, 100, 54, 25,, 1, 6,
Central,2023/4/1, 41, 13, 40,, 2, 1,
Central,2023/4/2, 44, 14, 14,, 2, 2,
Central,2023/4/3, 33, 16, 34,, 1, 4,
Central,2023/4/4, 40, 21, 20,, 1, 5,
Central,2023/4/5, 59, 19, 23,, 1, 5,
Central,2023/4/6, 44, 17, 15,, 2, 5,
Central,2023/4/7, 45, 16, 29,, 2, 6,
Central,2023/4/8, 54, 18, 19,, 1, 5,
Central,2023/4/9, 41, 15, 28,, 1, 4,
Central,2023/4/10, 52, 22, 35,, 1, 6,
Central,2023/4/11, 57, 24, 38,, 1, 6,
Central,2023/4/12, 65, 31, 33,, 1, 7,
Central,2023/4/13, 82, 26, 39,, 1, 8,
Central,2023/4/14, 61, 25, 50,, 1, 7,
Central,2023/4/15, 71, 26, 33,, 1, 8,
Central,2023/4/16, 63, 18, 31,, 2, 6,
Central,2023/4/17, 56, 23, 39,, 2, 5,
Central,2023/4/18, 61, 18, 15,, 1, 6,
Central,2023/4/19, 53, 15, 11,, 1, 5,
Central,2023/4/20, 30, 15, 25,, 2, 5,
Central,2023/4/21, 34, 12, 19,, 2, 4,
Central,2023/4/22, 29, 9, 21,, 1, 4,
Central,2023/4/23, 18, 11, 22,, 1, 6,
Central,2023/4/24, 30, 14, 24,, 1, 6,
Central,2023/4/25, 36, 16, 28,, 2, 8,
Central,2023/4/26, 40, 16, 17,, 2, 7,
Central,2023/4/27, 32, 14, 17,, 2, 9,
Central,2023/4/28, 38, 15, 33,, 2, 10,
Central,2023/4/29, 46, 14, 22,, 2, 10,
Central,2023/4/30, 34, 11, 26,, 2, 9,
Central,2023/5/1, 29, 12, 24,, 2, 9,
Central,2023/5/2, 29, 11, 26,, 2, 6,
Central,2023/5/3, 31, 17, 32,, 2, 5,
Central,2023/5/4, 41, 16, 25,, 2, 6,
Central,2023/5/5, 55, 18, 19,, 6, 4,
Central,2023/5/6, 31, 10, 16,, 7, 4,
Central,2023/5/7, 17, 8, 16,, 3, 4,
Central,2023/5/8, 15, 10, 19,, 4, 4,
Central,2023/5/9, 19, 12, 22,, 4, 4,
Central,2023/5/10, 21, 16, 20,, 1, 3,
Central,2023/5/11, 30, 11, 24,, 1, 4,
Central,2023/5/12, 22, 11, 28,, 1, 5,
Central,2023/5/13, 22, 11, 23,, 1, 6,
Central,2023/5/14, 32, 16, 21,, 1, 6,
Central,2023/5/15, 49, 20, 14,, 3, 6,
Central,2023/5/16, 50, 16, 17,, 3, 6,
Central,2023/5/17, 59, 27, 25,, 1, 9,
Central,2023/5/18, 60, 22, 22,, 2, 6,
Central,2023/5/19, 44, 17, 20,, 3, 7,
Central,2023/5/20, 37, 12, 14,, 1, 7,
Central,2023/5/21, 33, 14, 25,, 1, 8,
Central,2023/5/22, 43, 13, 16,, 1, 8,
Central,2023/5/23, 39, 13, 22,, 1, 8,
Central,2023/5/24, 36, 13, 15,, 1, 8,
Central,2023/5/25, 35, 14, 10,, 1, 6,
Central,2023/5/26, 37, 16, 4,, 2, 5,
Central,2023/5/27, 45, 14, 4,, 2, 4,
Central,2023/5/28, 27, 10, 7,, 2, 4,
Central,2023/5/29, 27, 12, 11,, 2, 4,
Central,2023/5/30, 27, 13, 9,, 2, 3,
Central,2023/5/31, 29, 13, 9,, 2, 3,
Central,2023/6/1, 30, 10, 6,, 2, 4,
Central,2023/6/2, 29, 15, 9,, 2, 4,
Central,2023/6/3, 43, 18, 12,, 2, 6,
Central,2023/6/4, 41, 13, 13,, 2, 5,
Central,2023/6/5, 24, 13, 8,, 2, 4,
Central,2023/6/6, 47, 15, 10,, 2, 4,
Central,2023/6/7, 44, 13, 9,, 2, 4,
Central,2023/6/8, 34, 12, 9,, 2, 3,
Central,2023/6/9, 17, 11, 7,, 2, 3,
Central,2023/6/10, 23, 10, 11,, 2, 4,
Central,2023/6/11, 26, 12, 6,, 2, 5,
Central,2023/6/12, 27, 16, 7,, 2, 7,
Central,2023/6/13, 43, 12, 5,, 2, 6,
Central,2023/6/14, 22, 13, 8,, 3, 6,
Central,2023/6/15, 35, 12, 12,, 3, 2,
Central,2023/6/16, 29, 12, 12,, 2, 2,
Central,2023/6/17, 30, 14, 10,, 2, 3,
Central,2023/6/18, 36, 15, 23,, 2, 4,
Central,2023/6/19, 44, 17, 19,, 2, 4,
Central,2023/6/20, 32, 17, 9,, 3, 4,
Central,2023/6/21, 33, 20, 14,, 4, 4,
Central,2023/6/22, 44, 22, 9,, 4, 5,
Central,2023/6/23, 43, 28, 8,, 4, 5,
Central,2023/6/24, 48, 30, 11,, 2, 4,
Central,2023/6/25, 62, 20, 7,, 3, 2,
Central,2023/6/26, 39, 18, 15,, 3, 2,
Central,2023/6/27, 42, 23, 17,, 2, 3,
Central,2023/6/28, 45, 25, 19,, 2, 3,
Central,2023/6/29, 57, 23, 12,, 1, 3,
Central,2023/6/30, 54, 21, 10,, 4, 3,
Central,2023/1/2, 49, 14, 23,, 3, 3,
Central,2023/1/3, 25, 10, 19,, 3, 2,
Central,2023/1/4, 20, 11, 19,, 3, 3,
Central,2023/1/5, 33, 13, 32,, 3, 4,
Central,2023/1/6, 37, 11, 28,, 3, 2,
Central,2023/1/7, 21, 9, 26,, 3, 2,
Central,2023/1/8, 25, 12, 34,, 3, 3,
Central,2023/1/9, 39, 18, 30,, 3, 3,
Central,2023/1/10, 55, 22, 12,, 4, 3,
Central,2023/1/11, 53, 15, 34,, 4, 3,
Central,2023/1/12, 40, 17, 20,, 3, 2,
Central,2023/1/13, 42, 21, 64,, 3, 4,
Central,2023/1/14, 58, 16, 37,, 4, 2,
Central,2023/1/15, 39, 14, 20,, 3, 2,
Central,2023/1/16, 35, 11, 28,, 3, 1,
Central,2023/1/17, 32, 10, 24,, 3, 2,
Central,2023/1/18, 27, 14, 21,, 3, 4,
Central,2023/1/19, 32, 10, 13,, 3, 4,
Central,2023/1/20, 18, 8, 20,, 3, 4,
Central,2023/1/21, 18, 8, 17,, 3, 4,
Central,2023/1/22, 22, 9, 10,, 3, 4,
Central,2023/1/23, 25, 7, 7,, 3, 4,
Central,2023/1/24, 17, 7, 10,, 3, 3,
Central,2023/1/25, 17, 9, 13,, 3, 4,
Central,2023/1/26, 22, 10, 20,, 3, 4,
Central,2023/1/27, 24, 9, 13,, 3, 3,
Central,2023/1/28, 13, 7, 23,, 3, 3,
Central,2023/1/29, 15, 10, 22,, 3, 3,
Central,2023/1/30, 29, 11, 19,, 3, 3,
Central,2023/1/31, 29, 12, 19,, 3, 3,
Central,2023/2/1, 31, 10, 18,, 3, 3,
Central,2023/2/2, 22, 10, 17,, 3, 3,
Central,2023/2/3, 25, 10, 5,, 3, 2,
Central,2023/2/4, 19, 10, 15,, 3, 2,
Central,2023/2/5, 22, 9, 18,, 3, 2,
Central,2023/2/6, 19, 9, 19,, 3, 3,
Central,2023/2/7, 23, 12, 15,, 3, 2,
Central,2023/2/8, 30, 13, 14,, 3, 2,
Central,2023/2/9, 30, 12, 15,, 4, 2,
Central,2023/2/10, 24, 10, 14,, 4, 2,
Central,2023/2/11, 20, 9, 14,, 3, 2,
Central,2023/2/12, 21, 10, 22,, 3, 3,
Central,2023/2/13, 30, 12, 31,, 3, 2,
Central,2023/2/14, 30, 12, 22,, 3, 1,
Central,2023/2/15, 22, 14, 14,, 3, 1,
Central,2023/2/16, 29, 16, 13,, 3, 2,
Central,2023/2/17, 42, 18, 12,, 3, 2,
Central,2023/2/18, 31, 13, 14,, 3, 2,
Central,2023/2/19, 23, 12, 29,, 2, 3,
Central,2023/2/20, 29, 14, 35,, 2, 2,
Central,2023/2/21, 35, 16, 38,, 2, 3,
Central,2023/2/22, 34, 16, 37,, 2, 3,
Central,2023/2/23, 32, 16, 32,, 2, 3,
Central,2023/2/24, 40, 15, 29,, 2, 3,
Central,2023/2/25, 37, 17, 23,, 2, 3,
Central,2023/2/26, 31, 17, 25,, 1, 4,
Central,2023/2/27, 29, 12, 20,, 2, 3,
Central,2023/2/28, 17, 7, 17,, 2, 2,
Central,2023/3/1, 14, 7, 14,, 2, 2,
Central,2023/3/2, 14, 8, 9,, 2, 2,
Central,2023/3/3, 23, 9, 13,, 3, 2,
Central,2023/3/4, 21, 10, 18,, 2, 2,
Central,2023/3/5, 32, 14, 18,, 2, 2,
Central,2023/3/6, 40, 12, 20,, 2, 2,
Central,2023/3/7, 33, 15, 18,, 2, 2,
Central,2023/3/8, 39, 16, 19,, 3, 1,
Central,2023/3/9, 42, 18, 19,, 3, 1,
Central,2023/3/10, 44, 21, 19,, 3, 1,
Central,2023/3/11, 43, 20, 22,, 3, 1,
Central,2023/3/12, 43, 17, 26,, 3, 2,
Central,2023/3/13, 49, 19, 22,, 3, 3,
Central,2023/3/14, 49, 23, 26,, 3, 4,
Central,2023/3/15, 60, 21, 19,, 3, 3,
Central,2023/3/16, 45, 17, 15,, 3, 3,
Central,2023/3/17, 42, 16, 14,, 2, 3,
Central,2023/3/18, 45, 16, 13,, 2, 3,
Central,2023/3/19, 37, 15, 12,, 2, 3,
Central,2023/3/20, 41, 15, 22,, 2, 3,
Central,2023/3/21, 38, 15, 19,, 3, 3,
Central,2023/3/22, 38, 15, 24,, 3, 3,
Central,2023/3/23, 30, 11, 18,, 3, 3,
Central,2023/3/24, 34, 16, 12,, 2, 4,
Central,2023/3/25, 40, 13, 26,, 2, 3,
Central,2023/3/26, 34, 15, 9,, 2, 5,
Central,2023/3/27, 37, 19, 25,, 2, 5,
Central,2023/3/28, 34, 12, 11,, 1, 3,
Central,2023/3/29, 23, 13, 19,, 1, 3,
Central,2023/3/30, 27, 14, 24,, 1, 2,
Central,2023/3/31, 38, 15, 19,, 1, 2,
Central,2022/10/1, 41, 14, 30,, 2, 3,
Central,2022/10/2, 27, 13, 17,, 3, 3,
Central,2022/10/3, 39, 16, 20,, 3, 3,
Central,2022/10/4, 54, 25, 13,, 2, 3,
Central,2022/10/5, 74, 20, 7,, 2, 3,
Central,2022/10/6, 44, 22, 9,, 8, 5,
Central,2022/10/7, 38, 15, 6,, 13, 4,
Central,2022/10/8, 33, 14, 3,, 9, 2,
Central,2022/10/9, 34, 15, 2,, 7, 2,
Central,2022/10/10, 40, 19, 2,, 6, 4,
Central,2022/10/11, 46, 15, 2,, 5, 2,
Central,2022/10/12, 27, 12, 4,, 4, 2,
Central,2022/10/13, 34, 15, 19,, 3, 2,
Central,2022/10/14, 31, 10, 16,, 3, 2,
Central,2022/10/15, 20, 10, 16,, 3, 3,
Central,2022/10/16, 20, 13, 14,, 3, 3,
Central,2022/10/17, 40, 17, 14,, 3, 4,
Central,2022/10/18, 46, 20, 13,, 3, 4,
Central,2022/10/19, 58, 21, 16,, 2, 3,
Central,2022/10/20, 54, 21, 14,, 2, 3,
Central,2022/10/21, 51, 25, 15,, 2, 4,
Central,2022/10/22, 55, 14, 15,, 2, 3,
Central,2022/10/23, 22, 11, 15,, 3, 4,
Central,2022/10/24, 27, 12, 15,, 2, 3,
Central,2022/10/25, 27, 11, 9,, 2, 3,
Central,2022/10/26, 23, 9, 9,, 2, 2,
Central,2022/10/27, 20, 12, 15,, 2, 3,
Central,2022/10/28, 33, 12, 16,, 2, 3,
Central,2022/10/29, 32, 13, 17,, 2, 2,
Central,2022/10/30, 29, 9, 14,, 2, 2,
Central,2022/10/31, 19, 11, 4,, 2, 5,
Central,2022/11/1, 27, 20, 22,, 2, 3,
Central,2022/11/2, 50, 22, 15,, 2, 3,
Central,2022/11/3, 44, 12, 17,, 2, 2,
Central,2022/11/4, 28, 10, 11,, 2, 4,
Central,2022/11/5, 21, 19, 17,, 2, 5,
Central,2022/11/6, 41, 14, 23,, 2, 4,
Central,2022/11/7, 30, 14, 13,, 2, 4,
Central,2022/11/8, 29, 17, 11,, 2, 4,
Central,2022/11/9, 38, 13, 10,, 2, 3,
Central,2022/11/10, 23, 12, 10,, 3, 3,
Central,2022/11/11, 31, 13, 11,, 1, 3,
Central,2022/11/12, 26, 11, 13,, 1, 3,
Central,2022/11/13, 26, 13, 21,, 1, 3,
Central,2022/11/14, 31, 14, 14,, 1, 2,
Central,2022/11/15, 23, 13, 20,, 1, 3,
Central,2022/11/16, 33, 13, 23,, 1, 3,
Central,2022/11/17, 27, 13, 22,, 1, 4,
Central,2022/11/18, 34, 13, 11,, 1, 3,
Central,2022/11/19, 28, 13, 21,, 1, 2,
Central,2022/11/20, 27, 13, 20,, 1, 2,
Central,2022/11/21, 28, 14, 20,, 1, 2,
Central,2022/11/22, 31, 14, 13,, 1, 3,
Central,2022/11/23, 33, 17, 15,, 1, 3,
Central,2022/11/24, 45, 18, 13,, 1, 2,
Central,2022/11/25, 27, 24, 24,, 2, 3,
Central,2022/11/26, 67, 33, 15,, 2, 3,
Central,2022/11/27, 45, 24, 23,, 1, 3,
Central,2022/11/28, 43, 18, 15,, 1, 3,
Central,2022/11/29, 35, 17, 21,, 1, 3,
Central,2022/11/30, 40, 13, 10,, 2, 3,
Central,2022/12/1, 29, 16, 14,, 2, 3,
Central,2022/12/2, 33, 15, 22,, 2, 3,
Central,2022/12/3, 33, 13, 12,, 2, 2,
Central,2022/12/4, 31, 15, 9,, 2, 3,
Central,2022/12/5, 39, 21, 17,, 2, 3,
Central,2022/12/6, 48, 20, 14,, 2, 2,
Central,2022/12/7, 35, 17, 9,, 2, 2,
Central,2022/12/8, 32, 12, 16,, 2, 1,
Central,2022/12/9, 24, 12, 13,, 2, 1,
Central,2022/12/10, 34, 13, 10,, 2, 1,
Central,2022/12/11, 23, 14, 19,, 2, 3,
Central,2022/12/12, 47, 14, 13,, 2, 1,
Central,2022/12/13, 28, 10, 11,, 2, 1,
Central,2022/12/14, 21, 9, 11,, 2, 1,
Central,2022/12/15, 19, 9, 22,, 2, 3,
Central,2022/12/16, 22, 10, 9,, 2, 6,
Central,2022/12/17, 28, 10, 20,, 2, 4,
Central,2022/12/18, 20, 9, 8,, 2, 4,
Central,2022/12/19, 24, 10, 16,, 2, 4,
Central,2022/12/20, 21, 10, 21,, 2, 4,
Central,2022/12/21, 24, 10, 14,, 2, 3,
Central,2022/12/22, 18, 10, 20,, 2, 3,
Central,2022/12/23, 26, 17, 30,, 2, 3,
Central,2022/12/24, 47, 19, 26,, 2, 3,
Central,2022/12/25, 38, 19, 25,, 2, 3,
Central,2022/12/26, 43, 20, 25,, 3, 3,
Central,2022/12/27, 43, 17, 23,, 3, 3,
Central,2022/12/28, 43, 17, 22,, 3, 3,
Central,2022/12/29, 44, 20, 27,, 2, 3,
Central,2022/12/30, 48, 17, 27,, 2, 3,
Central,2022/12/31, 44, 18, 27,, 3,,
Central,2023/1/1, 48, 18, 32,, 3, 3,
Central,2022/7/1, 30, 21, 24,, 2, 3,
Central,2022/7/2, 61, 23, 23,, 1, 3,
Central,2022/7/3, 59, 22, 22,, 1, 4,
Central,2022/7/4, 55, 17, 10,, 1, 3,
Central,2022/7/5, 34, 14, 17,, 1, 3,
Central,2022/7/6, 36, 13, 17,, 1, 3,
Central,2022/7/7, 30, 14, 12,, 2, 2,
Central,2022/7/8, 35, 21, 17,, 2, 3,
Central,2022/7/9, 48, 22, 13,, 3, 3,
Central,2022/7/10, 42, 15, 19,, 2, 3,
Central,2022/7/11, 44, 18, 18,, 1, 3,
Central,2022/7/12, 45, 17, 23,, 2, 3,
Central,2022/7/13, 45, 17, 15,, 2, 3,
Central,2022/7/14, 41, 14, 13,, 2, 3,
Central,2022/7/15, 32, 13, 15,, 2, 2,
Central,2022/7/16, 29, 17, 21,, 1, 2,
Central,2022/7/17, 34, 17, 15,, 1, 2,
Central,2022/7/18, 39, 18, 19,, 2, 2,
Central,2022/7/19, 37, 15, 12,, 2, 2,
Central,2022/7/20, 29, 17, 10,, 3, 3,
Central,2022/7/21, 48, 20, 8,, 2, 4,
Central,2022/7/22, 46, 21, 18,, 1, 4,
Central,2022/7/23, 56, 21, 10,, 1, 3,
Central,2022/7/24, 45, 15, 6,, 1, 3,
Central,2022/7/25, 42, 16, 12,, 1, 2,
Central,2022/7/26, 32, 13, 16,, 1, 2,
Central,2022/7/27, 31, 19, 16,, 1, 3,
