Area,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),LAT,LONG
South,Marina Barrage,2016,9,1,4.6,2.0,3.8,4.6,27.6,32.8,24.1,14.0,34.9,1.2799,103.8703
South,Marina Barrage,2016,9,2,0.0,0.0,0.0,0.0,29.0,33.3,25.9,13.7,35.3,1.2799,103.8703
South,Marina Barrage,2016,9,3,0.0,0.0,0.0,0.0,29.9,33.9,26.9,11.9,31.0,1.2799,103.8703
South,Marina Barrage,2016,9,4,0.0,0.0,0.0,0.0,29.8,33.5,27.8,11.2,36.7,1.2799,103.8703
South,Marina Barrage,2016,9,5,0.0,0.0,0.0,0.0,28.9,31.3,26.9,14.8,37.4,1.2799,103.8703
South,Marina Barrage,2016,9,6,14.2,10.4,10.6,10.8,29.1,32.0,25.0,12.2,41.4,1.2799,103.8703
South,Marina Barrage,2016,9,7,4.4,2.2,3.0,3.2,27.8,29.1,24.2,15.5,62.3,1.2799,103.8703
South,Marina Barrage,2016,9,8,0.0,0.0,0.0,0.0,29.8,32.8,28.2,12.2,34.6,1.2799,103.8703
South,Marina Barrage,2016,9,9,0.8,0.6,0.8,0.8,28.9,33.8,26.4,13.3,44.3,1.2799,103.8703
South,Marina Barrage,2016,9,10,5.8,4.4,5.6,5.8,27.6,30.7,23.2,15.1,42.8,1.2799,103.8703
South,Marina Barrage,2016,9,11,0.0,0.0,0.0,0.0,29.4,33.0,26.3,11.2,51.1,1.2799,103.8703
South,Marina Barrage,2016,9,12,2.2,1.4,1.4,1.4,27.7,29.1,25.9,16.6,43.9,1.2799,103.8703
South,Marina Barrage,2016,9,13,0.0,0.0,0.0,0.0,29.9,33.8,26.7,9.7,25.9,1.2799,103.8703
South,Marina Barrage,2016,9,14,14.6,10.6,12.6,12.8,27.1,29.2,24.5,13.7,54.0,1.2799,103.8703
South,Marina Barrage,2016,9,15,0.0,0.0,0.0,0.0,29.5,33.5,26.5,10.4,28.1,1.2799,103.8703
South,Marina Barrage,2016,9,16,35.0,11.6,22.6,32.4,28.4,32.9,22.8,11.9,57.6,1.2799,103.8703
South,Marina Barrage,2016,9,17,0.2,0.2,0.2,0.2,29.4,31.7,26.0,12.2,47.5,1.2799,103.8703
South,Marina Barrage,2016,9,18,54.4,40.2,53.0,54.2,28.9,32.8,22.1,11.9,51.5,1.2799,103.8703
South,Marina Barrage,2016,9,19,47.2,30.2,45.2,46.4,28.6,31.1,24.9,13.3,43.2,1.2799,103.8703
South,Marina Barrage,2016,9,20,18.6,9.0,14.8,18.2,28.6,32.8,23.6,13.7,49.7,1.2799,103.8703
South,Marina Barrage,2016,9,21,4.4,4.4,4.4,4.4,29.0,33.6,25.8,15.8,44.6,1.2799,103.8703
South,Marina Barrage,2016,9,22,0.0,0.0,0.0,0.0,29.0,31.8,26.8,16.2,34.2,1.2799,103.8703
South,Marina Barrage,2016,9,23,0.0,0.0,0.0,0.0,29.6,33.2,26.7,13.3,34.9,1.2799,103.8703
South,Marina Barrage,2016,9,24,0.6,0.6,0.6,0.6,29.5,33.0,25.4,11.5,41.0,1.2799,103.8703
South,Marina Barrage,2016,9,25,5.0,5.0,5.0,5.0,29.3,32.2,24.9,11.5,41.0,1.2799,103.8703
South,Marina Barrage,2016,9,26,0.0,0.0,0.0,0.0,29.4,32.8,26.8,15.8,36.7,1.2799,103.8703
South,Marina Barrage,2016,9,27,0.0,0.0,0.0,0.0,29.4,31.8,27.4,12.6,33.1,1.2799,103.8703
South,Marina Barrage,2016,9,28,0.0,0.0,0.0,0.0,30.4,35.2,26.5,14.0,40.7,1.2799,103.8703
South,Marina Barrage,2016,9,29,0.0,0.0,0.0,0.0,30.3,34.6,27.4,16.2,36.0,1.2799,103.8703
South,Marina Barrage,2016,9,30,0.0,0.0,0.0,0.0,29.2,34.4,27.4,16.9,37.4,1.2799,103.8703
South,Marina Barrage,2016,10,1,0.2,0.2,0.2,0.2,28.6,32.4,26.5,15.1,43.6,1.2799,103.8703
South,Marina Barrage,2016,10,2,0.0,0.0,0.0,0.0,29.9,33.3,27.2,13.0,38.2,1.2799,103.8703
South,Marina Barrage,2016,10,3,7.6,5.6,6.2,6.4,28.3,31.1,23.4,14.0,51.1,1.2799,103.8703
South,Marina Barrage,2016,10,4,0.0,0.0,0.0,0.0,29.6,33.1,27.2,14.4,32.4,1.2799,103.8703
South,Marina Barrage,2016,10,5,14.4,14.2,14.2,14.2,29.5,32.1,26.4,14.8,39.6,1.2799,103.8703
South,Marina Barrage,2016,10,6,14.8,10.4,14.6,14.8,28.3,30.2,24.4,14.8,39.6,1.2799,103.8703
South,Marina Barrage,2016,10,7,36.8,17.4,19.8,21.0,26.3,28.5,24.0,13.3,47.2,1.2799,103.8703
South,Marina Barrage,2016,10,8,0.0,0.0,0.0,0.0,28.7,32.1,25.5,14.8,36.0,1.2799,103.8703
South,Marina Barrage,2016,10,9,18.4,17.0,18.2,18.2,28.6,32.4,23.9,11.5,36.0,1.2799,103.8703
South,Marina Barrage,2016,10,10,0.0,0.0,0.0,0.0,30.2,34.4,27.2,15.8,38.2,1.2799,103.8703
South,Marina Barrage,2016,10,11,0.0,0.0,0.0,0.0,31.0,34.6,28.3,13.7,42.1,1.2799,103.8703
South,Marina Barrage,2016,10,12,0.0,0.0,0.0,0.0,30.2,34.1,27.9,13.7,42.1,1.2799,103.8703
South,Marina Barrage,2016,10,13,1.6,1.6,1.6,1.6,29.9,31.7,27.4,13.0,43.6,1.2799,103.8703
South,Marina Barrage,2016,10,14,32.8,21.8,29.4,30.8,28.7,31.2,23.0,13.7,38.9,1.2799,103.8703
South,Marina Barrage,2016,10,15,0.0,0.0,0.0,0.0,30.0,33.6,27.2,14.4,37.1,1.2799,103.8703
South,Marina Barrage,2016,10,16,10.2,6.0,8.2,9.0,28.8,32.6,25.3,13.7,58.3,1.2799,103.8703
South,Marina Barrage,2016,10,17,0.0,0.0,0.0,0.0,29.3,31.0,28.1,14.0,54.4,1.2799,103.8703
South,Marina Barrage,2016,10,18,0.0,0.0,0.0,0.0,30.1,33.9,27.3,10.4,37.4,1.2799,103.8703
South,Marina Barrage,2016,10,19,9.2,7.6,8.6,8.6,28.0,31.2,23.4,13.0,52.6,1.2799,103.8703
South,Marina Barrage,2016,10,20,0.0,0.0,0.0,0.0,29.6,33.4,27.1,12.6,31.3,1.2799,103.8703
South,Marina Barrage,2016,10,21,0.0,0.0,0.0,0.0,29.7,33.2,27.1,11.2,38.5,1.2799,103.8703
South,Marina Barrage,2016,10,22,0.2,0.2,0.2,0.2,29.2,31.9,25.3,14.0,44.3,1.2799,103.8703
South,Marina Barrage,2016,10,23,0.8,0.4,0.6,0.6,28.8,32.3,27.0,15.5,35.6,1.2799,103.8703
South,Marina Barrage,2016,10,24,10.8,8.4,9.6,9.8,27.7,29.9,24.1,18.0,44.6,1.2799,103.8703
South,Marina Barrage,2016,10,25,31.8,23.2,25.8,27.2,27.4,32.0,23.6,12.6,41.4,1.2799,103.8703
South,Marina Barrage,2016,10,26,1.4,0.8,1.2,1.4,27.9,32.0,25.0,14.0,38.5,1.2799,103.8703
South,Marina Barrage,2016,10,27,13.6,11.8,12.0,13.0,26.9,30.2,24.5,18.7,51.1,1.2799,103.8703
South,Marina Barrage,2016,10,28,0.4,0.4,0.4,0.4,28.1,32.5,25.5,15.5,40.0,1.2799,103.8703
South,Marina Barrage,2016,10,29,49.8,24.6,27.4,28.2,27.4,30.4,23.6,14.4,48.2,1.2799,103.8703
South,Marina Barrage,2016,10,30,1.0,0.8,0.8,0.8,28.0,31.1,24.7,11.5,38.2,1.2799,103.8703
South,Marina Barrage,2016,10,31,0.0,0.0,0.0,0.0,29.1,32.6,26.3,15.1,36.7,1.2799,103.8703
South,Marina Barrage,2016,11,1,13.4,6.8,7.4,8.8,27.5,30.1,24.3,13.7,55.8,1.2799,103.8703
South,Marina Barrage,2016,11,2,20.6,11.6,11.8,11.8,27.4,32.0,23.6,15.8,43.6,1.2799,103.8703
South,Marina Barrage,2016,11,3,1.4,0.6,0.6,1.2,28.1,32.2,25.7,16.6,43.6,1.2799,103.8703
South,Marina Barrage,2016,11,4,2.6,1.8,2.4,2.6,28.4,31.7,25.4,12.2,37.8,1.2799,103.8703
South,Marina Barrage,2016,11,5,16.8,11.6,11.8,13.4,26.9,28.7,24.3,11.5,59.0,1.2799,103.8703
South,Marina Barrage,2016,11,6,0.0,0.0,0.0,0.0,29.0,32.7,26.0,14.4,41.4,1.2799,103.8703
South,Marina Barrage,2016,11,7,10.8,9.0,9.6,10.0,27.0,28.4,25.7,15.8,31.3,1.2799,103.8703
South,Marina Barrage,2016,11,8,0.2,0.2,0.2,0.2,29.4,33.9,25.7,11.5,28.4,1.2799,103.8703
South,Marina Barrage,2016,11,9,0.4,0.2,0.2,0.2,28.4,31.1,24.7,14.4,40.7,1.2799,103.8703
South,Marina Barrage,2016,11,10,20.4,18.4,20.2,20.4,27.8,31.2,23.6,16.6,55.4,1.2799,103.8703
South,Marina Barrage,2016,11,11,0.0,0.0,0.0,0.0,28.1,32.0,26.1,16.2,35.6,1.2799,103.8703
South,Marina Barrage,2016,11,12,0.0,0.0,0.0,0.0,28.7,33.6,26.3,16.2,40.3,1.2799,103.8703
South,Marina Barrage,2016,11,13,0.0,0.0,0.0,0.0,28.1,31.4,26.1,15.1,34.2,1.2799,103.8703
South,Marina Barrage,2016,11,14,33.4,12.8,18.6,27.8,26.0,27.6,23.8,16.6,42.5,1.2799,103.8703
South,Marina Barrage,2016,11,15,3.4,3.0,3.2,3.4,27.8,32.0,25.2,15.1,33.5,1.2799,103.8703
South,Marina Barrage,2016,11,16,43.8,13.6,26.8,39.2,26.9,30.2,22.9,13.7,40.3,1.2799,103.8703
South,Marina Barrage,2016,11,17,1.0,1.0,1.0,1.0,28.1,31.9,25.9,15.1,36.0,1.2799,103.8703
South,Marina Barrage,2016,11,18,0.4,0.4,0.4,0.4,28.6,32.8,26.5,14.4,32.4,1.2799,103.8703
South,Marina Barrage,2016,11,19,0.0,0.0,0.0,0.0,28.9,32.3,26.2,13.0,37.1,1.2799,103.8703
South,Marina Barrage,2016,11,20,0.0,0.0,0.0,0.0,28.9,34.1,26.9,13.7,40.0,1.2799,103.8703
South,Marina Barrage,2016,11,21,3.2,2.4,3.0,3.0,28.6,31.1,26.5,15.5,41.8,1.2799,103.8703
South,Marina Barrage,2016,11,22,0.2,0.2,0.2,0.2,27.8,29.2,25.5,14.8,36.4,1.2799,103.8703
South,Marina Barrage,2016,11,23,3.4,1.6,1.8,2.0,28.0,30.7,25.0,11.5,51.1,1.2799,103.8703
South,Marina Barrage,2016,11,24,0.0,0.0,0.0,0.0,28.7,32.5,26.8,14.8,38.5,1.2799,103.8703
South,Marina Barrage,2016,11,25,35.2,34.4,35.2,35.2,28.5,33.3,23.9,13.7,50.4,1.2799,103.8703
South,Marina Barrage,2016,11,26,30.4,21.6,26.4,28.6,27.8,32.0,25.3,15.1,36.4,1.2799,103.8703
South,Marina Barrage,2016,11,27,2.8,2.6,2.6,2.6,27.7,30.7,24.1,18.4,37.4,1.2799,103.8703
South,Marina Barrage,2016,11,28,0.0,0.0,0.0,0.0,28.1,30.9,26.2,20.5,38.5,1.2799,103.8703
South,Marina Barrage,2016,11,29,0.6,0.4,0.4,0.4,27.0,29.4,25.8,20.9,42.5,1.2799,103.8703
South,Marina Barrage,2016,11,30,0.0,0.0,0.0,0.0,28.8,32.9,25.8,18.4,44.3,1.2799,103.8703
South,Marina Barrage,2017,7,1,—,—,—,—,—,—,—,—,—,1.2799,103.8703
South,Marina Barrage,2017,7,2,—,—,—,—,—,—,—,—,—,1.2799,103.8703
South,Marina Barrage,2017,7,3,—,—,—,—,—,—,—,—,—,1.2799,103.8703
South,Marina Barrage,2017,7,4,0,0,0,0,—,—,—,8.3,30.6,1.2799,103.8703
South,Marina Barrage,2017,7,5,21.8,11.8,19.4,21.6,28.1,33.1,24.7,6.8,36.4,1.2799,103.8703
South,Marina Barrage,2017,7,6,0,0,0,0,28.5,31.5,26.3,5.8,24.1,1.2799,103.8703
South,Marina Barrage,2017,7,7,0,0,0,0,29.2,32.4,27.6,6.1,26.3,1.2799,103.8703
South,Marina Barrage,2017,7,8,0.6,0.6,0.6,0.6,28.6,30.9,26,—,—,1.2799,103.8703
South,Marina Barrage,2017,7,9,1.8,1.8,1.8,1.8,28.1,30.8,24.9,—,—,1.2799,103.8703
South,Marina Barrage,2017,7,10,0,0,0,0,29.6,33,26.8,6.5,64.1,1.2799,103.8703
South,Marina Barrage,2017,7,11,31.4,22.8,31,31.4,28.2,30.4,24.8,8.6,58,1.2799,103.8703
South,Marina Barrage,2017,7,12,6,1.8,3.2,3.8,26.6,28.7,24,9,48.6,1.2799,103.8703
South,Marina Barrage,2017,7,13,0.6,0.4,0.6,0.6,28,32.2,25,6.8,22.3,1.2799,103.8703
South,Marina Barrage,2017,7,14,48,16.6,23.2,27.6,26.3,29.4,23.6,7.6,39.2,1.2799,103.8703
South,Marina Barrage,2017,7,15,3,3,3,3,27.7,31.1,24.5,8.3,35.3,1.2799,103.8703
South,Marina Barrage,2017,7,16,0.2,0.2,0.2,0.2,28.9,32,27.3,9,26.3,1.2799,103.8703
South,Marina Barrage,2017,7,17,0,0,0,0,29.4,33.1,27.1,8.3,23,1.2799,103.8703
South,Marina Barrage,2017,7,18,0,0,0,0,29.1,32.5,27.4,9,29.2,1.2799,103.8703
South,Marina Barrage,2017,7,19,0,0,0,0,29.2,32.3,27.2,9,21.2,1.2799,103.8703
South,Marina Barrage,2017,7,20,0,0,0,0,29.4,32.2,27.3,8.3,19.8,1.2799,103.8703
South,Marina Barrage,2017,7,21,0,0,0,0,30,34.3,27.6,7.9,25.6,1.2799,103.8703
South,Marina Barrage,2017,7,22,0,0,0,0,30.2,34.2,27.9,8.3,19.8,1.2799,103.8703
South,Marina Barrage,2017,7,23,0,0,0,0,30.1,33.7,27.8,7.6,19.1,1.2799,103.8703
South,Marina Barrage,2017,7,24,0,0,0,0,—,—,—,10.1,20.9,1.2799,103.8703
South,Marina Barrage,2017,7,25,—,—,—,—,—,—,—,—,—,1.2799,103.8703
South,Marina Barrage,2017,7,26,—,—,—,—,—,—,—,—,—,1.2799,103.8703
South,Marina Barrage,2017,7,27,0.2,0.2,0.2,0.2,29.5,32.3,27.6,9.4,66.6,1.2799,103.8703
South,Marina Barrage,2017,7,28,0,0,0,0,30.1,33.5,27.9,9,24.5,1.2799,103.8703
South,Marina Barrage,2017,7,29,0,0,0,0,30.1,33.2,28.1,9,25.6,1.2799,103.8703
South,Marina Barrage,2017,7,30,0,0,0,0,30.2,34.5,28.2,9.4,21.6,1.2799,103.8703
South,Marina Barrage,2017,7,31,0,0,0,0,29.9,33.5,28.1,6.5,22,1.2799,103.8703
Central,Ang Mo Kio,2014,1,1,0.0,0.0,0.0,0.0,26.3,28.7,24.5,7.2,29.9,1.3764,103.8492
Central,Ang Mo Kio,2014,1,2,0.0,0.0,0.0,0.0,26.9,30.4,24.6,8.2,32.0,1.3764,103.8492
Central,Ang Mo Kio,2014,1,3,8.8,8.6,8.8,8.8,26.5,30.1,24.8,7.1,29.5,1.3764,103.8492
Central,Ang Mo Kio,2014,1,4,1.4,1.4,1.4,1.4,26.6,30.9,24.7,4.2,30.2,1.3764,103.8492
Central,Ang Mo Kio,2014,1,5,7.2,1.6,3.2,5.2,24.5,25.5,23.3,5.2,24.1,1.3764,103.8492
Central,Ang Mo Kio,2014,1,6,40.0,8.4,9.4,13.8,24.8,26.5,23.3,4.1,24.1,1.3764,103.8492
Central,Ang Mo Kio,2014,1,7,2.0,1.8,1.8,1.8,26.3,30.7,23.8,5.3,23.4,1.3764,103.8492
Central,Ang Mo Kio,2014,1,8,0.0,0.0,0.0,0.0,26.9,31.3,24.2,6.7,29.2,1.3764,103.8492
Central,Ang Mo Kio,2014,1,9,6.4,3.8,5.0,5.8,25.6,28.5,23.9,3.7,31.0,1.3764,103.8492
Central,Ang Mo Kio,2014,1,10,0.0,0.0,0.0,0.0,27.0,31.2,23.9,4.2,17.6,1.3764,103.8492
Central,Ang Mo Kio,2014,1,11,0.0,0.0,0.0,0.0,26.7,31.8,24.1,7.6,31.0,1.3764,103.8492
Central,Ang Mo Kio,2014,1,12,0.8,0.8,0.8,0.8,25.8,28.4,24.7,8.0,35.6,1.3764,103.8492
Central,Ang Mo Kio,2014,1,13,0.0,0.0,0.0,0.0,26.4,29.4,24.6,9.6,41.4,1.3764,103.8492
Central,Ang Mo Kio,2014,1,14,0.0,0.0,0.0,0.0,26.1,29.2,23.9,8.7,36.7,1.3764,103.8492
Central,Ang Mo Kio,2014,1,15,0.0,0.0,0.0,0.0,25.5,28.3,24.0,8.5,37.1,1.3764,103.8492
Central,Ang Mo Kio,2014,1,16,0.0,0.0,0.0,0.0,25.5,28.7,23.6,9.3,35.6,1.3764,103.8492
Central,Ang Mo Kio,2014,1,17,0.0,0.0,0.0,0.0,25.6,29.1,23.5,9.9,35.3,1.3764,103.8492
Central,Ang Mo Kio,2014,1,18,0.0,0.0,0.0,0.0,25.6,28.8,23.6,10.3,38.2,1.3764,103.8492
Central,Ang Mo Kio,2014,1,19,0.0,0.0,0.0,0.0,25.5,29.0,23.3,9.0,35.6,1.3764,103.8492
Central,Ang Mo Kio,2014,1,20,0.0,0.0,0.0,0.0,25.5,29.0,23.4,9.7,38.9,1.3764,103.8492
Central,Ang Mo Kio,2014,1,21,0.0,0.0,0.0,0.0,25.4,29.3,23.5,9.7,36.4,1.3764,103.8492
Central,Ang Mo Kio,2014,1,22,0.0,0.0,0.0,0.0,25.2,28.1,22.9,9.6,35.3,1.3764,103.8492
Central,Ang Mo Kio,2014,1,23,0.0,0.0,0.0,0.0,25.4,29.1,23.1,9.2,34.6,1.3764,103.8492
Central,Ang Mo Kio,2014,1,24,0.0,0.0,0.0,0.0,25.3,28.2,23.2,9.6,38.2,1.3764,103.8492
Central,Ang Mo Kio,2014,1,25,0.0,0.0,0.0,0.0,25.4,28.8,23.0,8.3,31.7,1.3764,103.8492
Central,Ang Mo Kio,2014,1,26,0.0,0.0,0.0,0.0,25.2,29.0,22.5,8.0,31.0,1.3764,103.8492
Central,Ang Mo Kio,2014,1,27,0.0,0.0,0.0,0.0,25.4,29.3,22.7,9.5,35.6,1.3764,103.8492
Central,Ang Mo Kio,2014,1,28,0.0,0.0,0.0,0.0,26.1,29.6,23.9,9.8,40.7,1.3764,103.8492
Central,Ang Mo Kio,2014,1,29,0.0,0.0,0.0,0.0,26.1,30.3,23.7,9.7,38.9,1.3764,103.8492
Central,Ang Mo Kio,2014,1,30,0.0,0.0,0.0,0.0,25.6,30.9,22.5,8.4,39.6,1.3764,103.8492
Central,Ang Mo Kio,2014,1,31,0.0,0.0,0.0,0.0,25.9,30.5,22.6,9.1,38.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,1,0.0,0.0,0.0,0.0,25.6,31.6,22.2,8.1,31.3,1.3764,103.8492
Central,Ang Mo Kio,2014,2,2,0.0,0.0,0.0,0.0,25.4,30.5,22.5,7.7,30.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,3,0.0,0.0,0.0,0.0,26.1,32,23,6.9,26.6,1.3764,103.8492
Central,Ang Mo Kio,2014,2,4,0.0,0.0,0.0,0.0,26.3,32.5,23.1,7.0,27.7,1.3764,103.8492
Central,Ang Mo Kio,2014,2,5,0.0,0.0,0.0,0.0,26,31.7,22.8,8.1,31.0,1.3764,103.8492
Central,Ang Mo Kio,2014,2,6,0.0,0.0,0.0,0.0,26.2,31.9,23,7.6,30.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,7,0.0,0.0,0.0,0.0,26.4,31.3,23.6,7.2,24.5,1.3764,103.8492
Central,Ang Mo Kio,2014,2,8,8.4,5.2,5.4,8.2,26.1,32,23.7,5.9,23.4,1.3764,103.8492
Central,Ang Mo Kio,2014,2,9,0.0,0.0,0.0,0.0,27,32.5,24.1,5.7,20.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,10,0.0,0.0,0.0,0.0,27.5,33.3,24.1,5.9,24.1,1.3764,103.8492
Central,Ang Mo Kio,2014,2,11,0.0,0.0,0.0,0.0,27.2,32.2,24.6,7.5,28.8,1.3764,103.8492
Central,Ang Mo Kio,2014,2,12,0.0,0.0,0.0,0.0,27.2,32.6,24.2,8.8,34.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,13,0.0,0.0,0.0,0.0,27.6,32.6,25.1,9.0,37.4,1.3764,103.8492
Central,Ang Mo Kio,2014,2,14,0.0,0.0,0.0,0.0,27.1,31.1,24.9,9.1,32.0,1.3764,103.8492
Central,Ang Mo Kio,2014,2,15,0.0,0.0,0.0,0.0,27.3,31.6,24.5,9.7,39.6,1.3764,103.8492
Central,Ang Mo Kio,2014,2,16,0.0,0.0,0.0,0.0,27.3,32.2,24.7,8.3,35.6,1.3764,103.8492
Central,Ang Mo Kio,2014,2,17,0.0,0.0,0.0,0.0,27.2,31.7,25,9.0,32.4,1.3764,103.8492
Central,Ang Mo Kio,2014,2,18,0.0,0.0,0.0,0.0,27.4,32.3,24.6,8.3,35.3,1.3764,103.8492
Central,Ang Mo Kio,2014,2,19,0.0,0.0,0.0,0.0,27.2,31.7,24.4,7.6,30.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,20,0.0,0.0,0.0,0.0,27.3,31.8,24.5,10.0,39.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,21,0.0,0.0,0.0,0.0,27.1,30.1,25.2,10.1,43.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,22,0.0,0.0,0.0,0.0,27.4,32.6,24.5,10.9,39.2,1.3764,103.8492
Central,Ang Mo Kio,2014,2,23,0.0,0.0,0.0,0.0,26.9,31.2,24.2,8.9,41.4,1.3764,103.8492
Central,Ang Mo Kio,2014,2,24,0.0,0.0,0.0,0.0,26.8,31.7,23.8,9.3,41.0,1.3764,103.8492
Central,Ang Mo Kio,2014,2,25,0.0,0.0,0.0,0.0,26.6,31.4,23.5,9.0,37.1,1.3764,103.8492
Central,Ang Mo Kio,2014,2,26,0.0,0.0,0.0,0.0,27,31.7,24,9.5,36.4,1.3764,103.8492
Central,Ang Mo Kio,2014,2,27,0.0,0.0,0.0,0.0,27.4,32.5,24.1,9.8,39.6,1.3764,103.8492
Central,Ang Mo Kio,2014,2,28,0.0,0.0,0.0,0.0,—,—,—,8.8,37.4,1.3764,103.8492
Central,Ang Mo Kio,2014,3,1,0.0,0.0,0.0,0.0,27.0,32.3,24.5,8.3,35.6,1.3764,103.8492
Central,Ang Mo Kio,2014,3,2,0.0,0.0,0.0,0.0,27.6,33.6,24.2,6.9,26.3,1.3764,103.8492
Central,Ang Mo Kio,2014,3,3,0.0,0.0,0.0,0.0,27.5,33.1,24.3,7.3,33.8,1.3764,103.8492
Central,Ang Mo Kio,2014,3,4,0.0,0.0,0.0,0.0,27.6,34.1,24.3,7.4,28.4,1.3764,103.8492
Central,Ang Mo Kio,2014,3,5,0.0,0.0,0.0,0.0,27.5,33.7,24.0,8.3,34.6,1.3764,103.8492
Central,Ang Mo Kio,2014,3,6,0.0,0.0,0.0,0.0,27.2,32.6,23.7,7.5,37.1,1.3764,103.8492
Central,Ang Mo Kio,2014,3,7,0.0,0.0,0.0,0.0,27.3,31.9,23.9,7.7,33.5,1.3764,103.8492
Central,Ang Mo Kio,2014,3,8,0.0,0.0,0.0,0.0,27.6,33.3,24.6,7.6,32.8,1.3764,103.8492
Central,Ang Mo Kio,2014,3,9,0.0,0.0,0.0,0.0,27.2,32.6,24.1,8.9,33.8,1.3764,103.8492
Central,Ang Mo Kio,2014,3,10,0.0,0.0,0.0,0.0,27.3,31.9,24.2,8.7,38.5,1.3764,103.8492
Central,Ang Mo Kio,2014,3,11,0.0,0.0,0.0,0.0,27.8,33.6,24.3,9.5,37.8,1.3764,103.8492
Central,Ang Mo Kio,2014,3,12,0.0,0.0,0.0,0.0,27.7,32.7,24.7,8.8,38.2,1.3764,103.8492
Central,Ang Mo Kio,2014,3,13,0.0,0.0,0.0,0.0,28.1,34.7,24.5,7.5,32.4,1.3764,103.8492
Central,Ang Mo Kio,2014,3,14,0.0,0.0,0.0,0.0,28.4,33.9,25.0,7.9,37.8,1.3764,103.8492
Central,Ang Mo Kio,2014,3,15,0.0,0.0,0.0,0.0,28.1,32.4,25.5,8.4,36.0,1.3764,103.8492
Central,Ang Mo Kio,2014,3,16,43.4,14.4,16.0,16.0,25.5,27.5,23.9,4.8,29.9,1.3764,103.8492
Central,Ang Mo Kio,2014,3,17,11.2,3.2,5.0,5.6,25.6,27.7,23.8,4.9,27.0,1.3764,103.8492
Central,Ang Mo Kio,2014,3,18,3.8,3.8,3.8,3.8,26.6,31.3,24.6,5.3,28.8,1.3764,103.8492
Central,Ang Mo Kio,2014,3,19,0.0,0.0,0.0,0.0,26.6,32.0,24.9,4.8,29.5,1.3764,103.8492
Central,Ang Mo Kio,2014,3,20,0.2,0.2,0.2,0.2,27.0,32.4,25.1,4.7,26.6,1.3764,103.8492
Central,Ang Mo Kio,2014,3,21,10.8,10.8,10.8,10.8,27.3,32.7,24.9,4.9,22.3,1.3764,103.8492
Central,Ang Mo Kio,2014,3,22,0.0,0.0,0.0,0.0,27.1,30.7,24.2,7.1,31.7,1.3764,103.8492
Central,Ang Mo Kio,2014,3,23,0.0,0.0,0.0,0.0,27.6,32.8,23.9,7.8,33.5,1.3764,103.8492
Central,Ang Mo Kio,2014,3,24,0.0,0.0,0.0,0.0,27.9,33.1,24.7,7.4,31.7,1.3764,103.8492
Central,Ang Mo Kio,2014,3,25,0.0,0.0,0.0,0.0,27.9,33.2,24.9,8.5,36.4,1.3764,103.8492
Central,Ang Mo Kio,2014,3,26,0.0,0.0,0.0,0.0,28.3,33.2,25.4,7.2,31.7,1.3764,103.8492
Central,Ang Mo Kio,2014,3,27,0.0,0.0,0.0,0.0,28.6,33.7,25.4,6.9,27.7,1.3764,103.8492
Central,Ang Mo Kio,2014,3,28,0.4,0.4,0.4,0.4,28.6,33.0,25.5,6.8,35.6,1.3764,103.8492
Central,Ang Mo Kio,2014,3,29,7.8,7.6,7.8,7.8,28.0,32.3,26.3,4.7,28.8,1.3764,103.8492
Central,Ang Mo Kio,2014,3,30,7.6,7.6,7.6,7.6,28.3,33.1,25.4,4.8,20.9,1.3764,103.8492
Central,Ang Mo Kio,2014,3,31,0.0,0.0,0.0,0.0,28.9,32.5,26.1,6.1,34.2,1.3764,103.8492
Central,Ang Mo Kio,2014,4,1,0.0,0.0,0.0,0.0,28.6,33.0,26.2,4.9,20.2,1.3764,103.8492
Central,Ang Mo Kio,2014,4,2,0.0,0.0,0.0,0.0,29.0,33.3,26.0,5.1,24.8,1.3764,103.8492
Central,Ang Mo Kio,2014,4,3,0.0,0.0,0.0,0.0,29.4,34.4,27.2,7.5,37.4,1.3764,103.8492
Central,Ang Mo Kio,2014,4,4,0.2,0.2,0.2,0.2,28.4,33.3,26.1,4.5,27.4,1.3764,103.8492
Central,Ang Mo Kio,2014,4,5,36.8,13.0,15.8,25.0,26.1,27.9,23.3,4.8,29.5,1.3764,103.8492
Central,Ang Mo Kio,2014,4,6,0.6,0.4,0.6,0.6,28.1,32.1,24.7,5.6,28.1,1.3764,103.8492
Central,Ang Mo Kio,2014,4,7,0.0,0.0,0.0,0.0,28.9,34.2,25.2,5.1,24.8,1.3764,103.8492
Central,Ang Mo Kio,2014,4,8,0.6,0.2,0.2,0.4,28.0,33.1,25.4,5.0,23.4,1.3764,103.8492
